numeroChip,fecha_nacimiento,fecha_implantacion,sexo,raza,aptitud,provincia,municipio
1F0A03391B,01/01/1992,02/12/1993,M,SETTER INGLES - ENGLISH SETTER,CAZA,BURGOS,MIRANDA DE EBRO
1F07790E53,01/01/1993,25/01/1994,H,EUSKAL ARTZAIN TXAKURRA (ILETSUA-GORBEIAKO) - PERRO PASTOR VASCO,GUARDA DEFENSA Y UTILIDAD,BURGOS,CONDADO DE TREVIÑO
1F08301F0A,01/01/1990,29/01/1994,H,DOBERMAN,GUARDA DEFENSA Y UTILIDAD,BURGOS,MIRANDA DE EBRO
1F07451005,01/01/1992,09/02/1994,M,EUSKAL ARTZAIN TXAKURRA (ILETSUA-GORBEIAKO) - PERRO PASTOR VASCO,LUJO Y COMPAÑIA,BURGOS,MIRANDA DE EBRO
7F7A1B1810,01/01/1993,15/02/1994,H,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,GUARDA DEFENSA Y UTILIDAD,BURGOS,MIRANDA DE EBRO
7F7B1A192D,01/01/1991,21/02/1994,H,GRIFFON NIVERNAIS - GRIFON DEL NIVERNAIS,CAZA,BURGOS,MIRANDA DE EBRO
1F084D4E3E,01/01/1989,23/02/1994,H,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,GUARDA DEFENSA Y UTILIDAD,BURGOS,MIRANDA DE EBRO
7F7B1C3A68,01/01/1993,04/03/1994,M,GRIFFON BLEU DE GASCOGNE - GRIFON AZUL DE GASCUÑA,CAZA,BURGOS,MIRANDA DE EBRO
7F7B1A2E72,01/01/1993,04/03/1994,H,GRIFFON BLEU DE GASCOGNE - GRIFON AZUL DE GASCUÑA,CAZA,BURGOS,MIRANDA DE EBRO
1F0A047C57,01/01/1991,24/02/1994,H,CANICHE - POODLE,LUJO Y COMPAÑIA,BURGOS,MIRANDA DE EBRO
7F7B20093A,01/01/1992,12/04/1994,M,SETTER IRLANDES ROJO - IRISH RED SETTER,CAZA,BURGOS,MIRANDA DE EBRO
1F0A0D0C3E,01/01/1992,03/05/1994,M,EUSKAL ARTZAIN TXAKURRA (ILETSUA-GORBEIAKO) - PERRO PASTOR VASCO,PASTOR,LA RIOJA,LOGROÑO
1F08527710,01/01/1992,11/05/1994,M,MASTIN ESPAÑOL,GUARDA DEFENSA Y UTILIDAD,NAVARRA,ZÚÑIGA
1F07626216,01/01/1988,24/05/1994,M,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,GUARDA DEFENSA Y UTILIDAD,BURGOS,MIRANDA DE EBRO
7F7B1C6329,01/01/1989,31/05/1994,H,POINTER,CAZA,BURGOS,CONDADO DE TREVIÑO
1F073E2F6D,01/01/1993,08/07/1994,H,POINTER,CAZA,BURGOS,MIRANDA DE EBRO
7F7B1E5C23,15/06/1991,24/05/1994,M,PODENCO IBICENCO,CAZA,BURGOS,CONDADO DE TREVIÑO
7F7B201B5F,15/05/1987,24/05/1994,M,SABUESO ESPAÑOL,CAZA,BURGOS,CONDADO DE TREVIÑO
1F081B516D,15/05/1990,24/05/1994,M,SABUESO ESPAÑOL,CAZA,BURGOS,CONDADO DE TREVIÑO
1F08592F51,01/01/1991,12/08/1994,H,MASTIN DEL PIRINEO,GUARDA DEFENSA Y UTILIDAD,BURGOS,CONDADO DE TREVIÑO
1F1C6E4F08,01/01/1990,12/08/1994,M,MASTIN ESPAÑOL,GUARDA DEFENSA Y UTILIDAD,BURGOS,CONDADO DE TREVIÑO
1F081E5F5C,08/11/1993,06/07/1994,M,HUSKY SIBERIANO - SIBERIAN HUSKY,LUJO Y COMPAÑIA,CORUÑA (A),FERROL
7F7B1F3D42,22/05/1994,02/09/1994,M,YORKSHIRE TERRIER,LUJO Y COMPAÑIA,BURGOS,MIRANDA DE EBRO
7F7B1E3E01,17/05/1994,06/09/1994,M,WELSH TERRIER - TERRIER GALES,LUJO Y COMPAÑIA,BURGOS,MIRANDA DE EBRO
7F7B201C4D,01/01/1990,04/10/1994,M,MASTIN ESPAÑOL,LUJO Y COMPAÑIA,NAVARRA,OLAZTI/OLAZAGUTÍA
7F7B20055A,01/01/1993,03/10/1994,M,FOX TERRIER - WIRE (PELO DURO) - WIRE FOX TERRIER,LUJO Y COMPAÑIA,BURGOS,CONDADO DE TREVIÑO
7F7B1F2021,01/01/1994,07/11/1994,H,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,GUARDA DEFENSA Y UTILIDAD,BURGOS,MIRANDA DE EBRO
1F08660A69,01/01/1993,07/11/1994,H,MASTIN ESPAÑOL,LUJO Y COMPAÑIA,LA RIOJA,ALBELDA DE IREGUA
1F09121333,01/01/1993,02/11/1994,H,BLOODHOUND - CHIEN DE SAINT HUBERT - PERRO DE SAN HUMBERTO,CAZA,BURGOS,CONDADO DE TREVIÑO
7F7B1E5E6D,01/01/1993,19/10/1994,M,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,LUJO Y COMPAÑIA,BURGOS,CONDADO DE TREVIÑO
7F7B1F302D,01/01/1992,18/11/1994,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,GUARDA DEFENSA Y UTILIDAD,BURGOS,MIRANDA DE EBRO
1F0A04557E,01/01/1992,17/11/1994,M,MASTIN DEL PIRINEO,GUARDA DEFENSA Y UTILIDAD,LA RIOJA,HARO
7F7A1A6356,01/07/1994,09/12/1994,H,MASTIN ESPAÑOL,GUARDA DEFENSA Y UTILIDAD,LA RIOJA,EZCARAY
7F7B1F2E22,12/12/1994,12/12/1994,M,GRIFON LEONADO DE BRETAÑA - FAWN BRITTANY GRIFFON - GRIFFON FAUVE DE BRETAGNE,CAZA,LA RIOJA,HARO
7F7B1F2625,01/01/1990,28/12/1994,H,CANICHE - POODLE,LUJO Y COMPAÑIA,LA RIOJA,BAÑARES
1F07513F4A,23/12/1994,23/12/1994,M,SABUESO ESPAÑOL,CAZA,BURGOS,CONDADO DE TREVIÑO
1F3203406C,01/01/1993,19/07/1994,M,EUSKAL ARTZAIN TXAKURRA (ILETSUA-GORBEIAKO) - PERRO PASTOR VASCO,PASTOR,ALICANTE ,TORREVIEJA
1F4B5C2E0C,22/06/1994,29/08/1994,H,GRIFFON NIVERNAIS - GRIFON DEL NIVERNAIS,CAZA,LA RIOJA,VILLALBA DE RIOJA
1F08736105,15/03/1992,23/09/1994,M,SABUESO ESPAÑOL,CAZA,BURGOS,CONDADO DE TREVIÑO
1F0A1C714A,15/03/1992,23/09/1994,H,GRAN GRIFON VENDEANO - GRAND GRIFFON VENDÉEN,CAZA,BURGOS,CONDADO DE TREVIÑO
1F08630670,15/07/1991,10/10/1994,H,SABUESO ESPAÑOL,CAZA,BURGOS,CONDADO DE TREVIÑO
7F7B1F430A,15/06/1991,10/10/1994,M,GRIFON LEONADO DE BRETAÑA - FAWN BRITTANY GRIFFON - GRIFFON FAUVE DE BRETAGNE,CAZA,BURGOS,CONDADO DE TREVIÑO
1F0868254C,15/06/1993,10/10/1994,M,GRIFON LEONADO DE BRETAÑA - FAWN BRITTANY GRIFFON - GRIFFON FAUVE DE BRETAGNE,CAZA,BURGOS,CONDADO DE TREVIÑO
2005690969,16/05/1995,27/09/1995,M,EPAGNEUL BRETON - SPANIEL BRETON,CAZA,BURGOS,MIRANDA DE EBRO
1F23612D30,01/04/1995,26/07/1995,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,SEGOVIA,ESPINAR (EL)
20510C2F54,11/06/1995,27/11/1995,M,MALAMUTE DE ALASKA - ALASKAN MALAMUTE,LUJO Y COMPAÑIA,SEVILLA,SEVILLA
20393D5D0D,01/08/1994,18/12/1995,H,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,GUARDA DEFENSA Y UTILIDAD,BURGOS,MIRANDA DE EBRO
1F52161F5A,15/03/1992,26/12/1995,M,SETTER INGLES - ENGLISH SETTER,CAZA,NAVARRA,ETXARRI-ARANATZ
1F19435D28,24/11/1993,11/12/1994,H,SETTER INGLES - ENGLISH SETTER,CAZA,LA RIOJA,ALMARZA DE CAMEROS
7F7B1F3040,01/01/1991,01/04/1995,M,CANICHE - POODLE,LUJO Y COMPAÑIA,ALICANTE ,TORREVIEJA
1F08735C0A,01/01/1993,03/03/1995,M,SCHNAUZER GIGANTE - RIESENSCHNAUZER,LUJO Y COMPAÑIA,BURGOS,BURGOS
1F08756D77,01/01/1991,03/03/1995,M,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,GUARDA DEFENSA Y UTILIDAD,NAVARRA,ZÚÑIGA
1F7B234201,20/03/1995,07/09/1995,H,AKITA INU,LUJO Y COMPAÑIA,BURGOS,BURGOS
1F79421E08,11/03/1994,01/02/1995,M,AIREDALE TERRIER,GUARDA DEFENSA Y UTILIDAD,LEON,PONFERRADA
204F3B470F,26/12/1994,01/07/1995,H,MALAMUTE DE ALASKA - ALASKAN MALAMUTE,LUJO Y COMPAÑIA,MADRID,MANZANARES EL REAL
20292D6E1C,04/10/1994,29/07/1995,M,AKITA INU,GUARDA DEFENSA Y UTILIDAD,VALENCIA,VALENCIA
1F536F6639,01/08/1994,03/03/1995,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,LA RIOJA,ENTRENA
1F785D5B31,19/10/1994,15/02/1995,M,HUSKY SIBERIANO - SIBERIAN HUSKY,LUJO Y COMPAÑIA,LA RIOJA,LOGROÑO
1F6F334679,01/06/1991,18/08/1997,M,SETTER INGLES - ENGLISH SETTER,CAZA,PALENCIA,PALENCIA
1F08544144,01/01/1995,28/08/1995,M,EUSKAL ARTZAIN TXAKURRA (ILETSUA-GORBEIAKO) - PERRO PASTOR VASCO,PASTOR,CORDOBA,CÓRDOBA
204A1D4534,01/01/1990,25/11/1995,M,SETTER INGLES - ENGLISH SETTER,LUJO Y COMPAÑIA,NAVARRA,SAN ADRIÁN
1F53396471,01/11/1994,18/11/1995,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,CAZA,BURGOS,MIRANDA DE EBRO
1F51564278,01/01/1995,23/01/1996,H,EUSKAL ARTZAIN TXAKURRA (ILETSUA-GORBEIAKO) - PERRO PASTOR VASCO,PASTOR,LA RIOJA,LOGROÑO
1F54722B70,01/01/1995,09/02/1996,M,MASTIN ESPAÑOL,LUJO Y COMPAÑIA,SALAMANCA,BÓVEDA DEL RÍO ALMAR
202C016152,19/01/1988,12/12/1995,H,BRACO ALEMAN - DRATHAR - DRAHTHAAR - DEUTSCH DRAHTHAAR,CAZA,BURGOS,MIRANDA DE EBRO
2039411B4B,21/04/1995,04/01/1996,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,NAVARRA,PITILLAS
202F12405F,01/01/1993,07/02/1996,M,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,GUARDA DEFENSA Y UTILIDAD,NAVARRA,ZÚÑIGA
20165D0964,22/03/1996,22/03/1996,M,SABUESO ESPAÑOL,CAZA,LA RIOJA,BAÑOS DE RÍO TOBÍA
20503A1C3A,01/02/1994,27/12/1995,M,SABUESO ESPAÑOL,CAZA,BURGOS,CONDADO DE TREVIÑO
1F087A4F10,20/05/1994,30/12/1994,H,POINTER,CAZA,BURGOS,CONDADO DE TREVIÑO
1F185E313A,15/02/1994,30/12/1994,M,BLOODHOUND - CHIEN DE SAINT HUBERT - PERRO DE SAN HUMBERTO,CAZA,BURGOS,CONDADO DE TREVIÑO
1F090F0148,25/05/1994,30/12/1994,M,SABUESO ESPAÑOL,CAZA,BURGOS,CONDADO DE TREVIÑO
1F0A0F7157,15/06/1994,30/12/1994,M,FOX TERRIER - SMOOTH (PELO LISO) - SMOOTH FOX TERRIER,CAZA,BURGOS,CONDADO DE TREVIÑO
