Id,Chip,Fec_alt,Fec_nacim,Fec_implant,Id_provincia,Nombre,Id_sexo,Id_especie,Id_raza,Id_raza2,Id_aptitud,Ppp,Dir_cp,Dir_provincia,Dir_municipio,Dir_pais,Baja,Desaparecido,Aparecido
33,1F0A03391B,16/12/1993,01/01/1992,02/12/1993,ARABA / ALAVA,¿? (1629),M,Canino,SETTER INGLES - ENGLISH SETTER,,CAZA,false,,BURGOS,MIRANDA DE EBRO,ESPAÑA,,,
142,1F07790E53,25/01/1994,01/01/1993,25/01/1994,ARABA / ALAVA,¿?,H,Canino,EUSKAL ARTZAIN TXAKURRA (ILETSUA-GORBEIAKO) - PERRO PASTOR VASCO,,GUARDA DEFENSA Y UTILIDAD,false,,BURGOS,CONDADO DE TREVIÑO,ESPAÑA,,,
173,1F08301F0A,31/01/1994,01/01/1990,29/01/1994,ARABA / ALAVA,DIANA,H,Canino,DOBERMAN,,GUARDA DEFENSA Y UTILIDAD,false,,BURGOS,MIRANDA DE EBRO,ESPAÑA,,,
226,1F07451005,10/02/1994,01/01/1992,09/02/1994,BURGOS,BOOMER,M,Canino,EUSKAL ARTZAIN TXAKURRA (ILETSUA-GORBEIAKO) - PERRO PASTOR VASCO,,LUJO Y COMPAÑIA,false,,BURGOS,MIRANDA DE EBRO,ESPAÑA,,,
261,7F7A1B1810,15/02/1994,01/01/1993,15/02/1994,ARABA / ALAVA,¿?,H,Canino,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,,GUARDA DEFENSA Y UTILIDAD,false,9200,BURGOS,MIRANDA DE EBRO,ESPAÑA,,,
310,7F7B1A192D,22/02/1994,01/01/1991,21/02/1994,ARABA / ALAVA,NIEBLA,H,Canino,GRIFFON NIVERNAIS - GRIFON DEL NIVERNAIS,,CAZA,false,,BURGOS,MIRANDA DE EBRO,ESPAÑA,,,
390,1F084D4E3E,23/02/1994,01/01/1989,23/02/1994,ARABA / ALAVA,¿?,H,Canino,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,,GUARDA DEFENSA Y UTILIDAD,false,,BURGOS,MIRANDA DE EBRO,ESPAÑA,,,
595,7F7B1C3A68,04/03/1994,01/01/1993,04/03/1994,ARABA / ALAVA,PIJI,M,Canino,GRIFFON BLEU DE GASCOGNE - GRIFON AZUL DE GASCUÑA,,CAZA,false,9200,BURGOS,MIRANDA DE EBRO,ESPAÑA,,,
599,7F7B1A2E72,04/03/1994,01/01/1993,04/03/1994,ARABA / ALAVA,LUNA,H,Canino,GRIFFON BLEU DE GASCOGNE - GRIFON AZUL DE GASCUÑA,,CAZA,false,9200,BURGOS,MIRANDA DE EBRO,ESPAÑA,,,
720,1F0A047C57,11/03/2004,01/01/1991,24/02/1994,ARABA / ALAVA,TULI,H,Canino,CANICHE - POODLE,,LUJO Y COMPAÑIA,false,,BURGOS,MIRANDA DE EBRO,ESPAÑA,,,
1077,7F7B20093A,12/04/1994,01/01/1992,12/04/1994,BURGOS,GORRI,M,Canino,SETTER IRLANDES ROJO - IRISH RED SETTER,,CAZA,false,,BURGOS,MIRANDA DE EBRO,ESPAÑA,,,
1300,1F0A0D0C3E,03/05/1994,01/01/1992,03/05/1994,ARABA / ALAVA,CHATO,M,Canino,EUSKAL ARTZAIN TXAKURRA (ILETSUA-GORBEIAKO) - PERRO PASTOR VASCO,,PASTOR,false,26213,LA RIOJA,LOGROÑO,ESPAÑA,,,
1486,1F08527710,27/02/1996,01/01/1992,11/05/1994,ARABA / ALAVA,DUQUE,M,Canino,MASTIN ESPAÑOL,,GUARDA DEFENSA Y UTILIDAD,false,,NAVARRA,ZÚÑIGA,ESPAÑA,,,
